CodEscola,Nome,Nº Funcionarios,Nº Salas,Qtd Aluno/Computador,Qtd Computadores,Situação,Tem Biblioteca,Tem Internet,Tem Lab Ciências,Tem Lab Informática,Tem Quadra Cob,Tem Quadra Desc,Tipo,Zona da Escola
26146258,ESCOLA CENTRO EDUCATIVO MONTE ALVERNE,12,5,0,4,Em Atividade,N,S,N,N,N,N,Privada,URBANA
26146312,COLEGIO NOSSA SENHORA DO CARMO,30,12,10,12,Em Atividade,N,S,N,S,S,N,Privada,URBANA
26146320,ESCOLA SANTA TEREZINHA,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26158841,CENTRO EDUCACIONAL VITORIA,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26161796,INSTITUTO TAYRAN,4,4,3,4,Em Atividade,N,S,N,S,N,N,Privada,URBANA
26162210,COLEGIO SANTA EMILIA,80,31,12,25,Em Atividade,S,S,S,S,S,N,Privada,URBANA
26150522,ESCOLA ADVENTISTA DE SALGADINHO,0,0,0,0,Extinta,N,N,N,N,N,N,Privada,URBANA
26150085,INSTITUTO DE EDUCACAO DE OURO PRETO,19,14,9,10,Em Atividade,S,S,S,S,S,N,Privada,URBANA
26150131,ESCOLA PROFESSOR PAULO FREIRE,40,11,10,11,Em Atividade,S,S,N,S,N,N,Pública,URBANA
26151707,CENTRO DE EDUCACAO DE JOVENS E ADULTOS,0,0,0,0,Extinta,N,N,N,N,N,N,Pública,URBANA
26151715,COLEGIO SANTA CELINA LTDA,0,0,0,0,Extinta,N,N,N,N,N,N,Privada,URBANA
26150166,ACADEMIA ISABELA DE PAULA,5,7,3,4,Em Atividade,S,N,N,S,N,N,Privada,URBANA
26150263,ACADEMIA MARIA DAS NEVES,0,0,0,0,Extinta,N,N,N,N,N,N,Privada,URBANA
26150280,COLEGIO APRENDER CRESCER,30,15,0,2,Em Atividade,N,S,N,N,S,N,Privada,URBANA
26150514,COLEGIO RENASCER,0,0,0,0,Em Atividade,N,N,N,N,N,N,Privada,URBANA
26150530,ESCOLA JESUS NAZARENO,0,0,0,0,Extinta,N,N,N,N,N,N,Privada,URBANA
26150638,ACADEMIA LETICIA LONGO,0,0,0,0,Extinta,N,N,N,N,N,N,Privada,URBANA
26150662,ESCOLA WILTON DE MEIRA PACHECO,11,5,13,18,Em Atividade,S,S,S,S,N,N,Privada,URBANA
26150751,ESCOLA RAIO DE SOL,10,9,1,1,Em Atividade,S,S,N,N,N,N,Privada,URBANA
26150760,COLEGIO REAL,35,12,0,6,Em Atividade,S,S,N,N,S,N,Privada,URBANA
26170833,COLEGIO E CURSO UNIVERSO,27,7,1,4,Em Atividade,S,S,N,S,S,N,Privada,URBANA
26170841,COLEGIO E CURSO MENINO JESUS,44,12,0,25,Em Atividade,S,S,N,N,N,N,Privada,URBANA
26170850,EDUCAR COLEGIO E CURSO,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26173786,ESCOLA JOANA SENA ANEXO I,0,0,0,0,Extinta,N,N,N,N,N,N,Pública,URBANA
26173794,ESC MUNICIPAL VER JOSE M DE LIMA ANEXO I IGREJA PRESBITERIANA,11,4,0,0,Em Atividade,N,N,N,N,N,N,Pública,URBANA
26173808,ESC MUL M CASTELO ANEXO 1 THEMISTOCLES DE ANDRADE,0,0,0,0,Extinta,N,N,N,N,N,N,Pública,URBANA
26173816,ANEXO II NOVA CONQUISTA ESC MONTE CASTELO,15,3,0,0,Em Atividade,N,N,N,N,N,N,Pública,URBANA
26173824,ANEXO AZEREDINHO DA ESC DOM AZEREDO COUTINHO,0,0,0,0,Extinta,N,N,N,N,N,N,Pública,URBANA
26173832,ANEXO GUIMAR BARBOSA,0,0,0,0,Extinta,N,N,N,N,N,N,Pública,URBANA
26173859,ANEXO II ESCOLA MUL DR JOSE MARIANO,0,0,0,0,Extinta,N,N,N,N,N,N,Pública,URBANA
26173867,ANEXO CLUBE DE MAES DA AZEITONA- ESC MONSENHOR FA,0,0,0,0,Extinta,N,N,N,N,N,N,Pública,URBANA
26173883,ESCOLA MUL PROF WILSON DE SOUZA,50,6,0,1,Em Atividade,S,N,N,N,N,N,Pública,URBANA
26173891,ANEXO CRECHE SANTA ANA ESC IZAULINA DE CASTRO,0,0,0,0,Extinta,N,N,N,N,N,N,Pública,URBANA
